cell,label,UMAP1,UMAP2
A1.B003290.3_38_F.1.1,astrocyte,2.8869712,3.139456
A1.B003728.3_56_F.1.1,astrocyte,3.4310622,-0.0111733135
A1.MAA000560.3_10_M.1.1,oligodendrocyte,13.837101,12.688873
A1.MAA000564.3_10_M.1.1,endothelial cell,-5.63712,11.981103
A1.MAA000923.3_9_M.1.1,astrocyte,5.08251,1.2226639
A1.MAA000930.3_8_M.1.1,oligodendrocyte,5.9837565,-0.043188717
A1.MAA000932.3_11_M.1.1,endothelial cell,-4.181135,11.889042
A1.MAA000940.3_8_M.1.1,neuron,8.434622,-5.1635175
A1.MAA001854.3_38_F.1.1,oligodendrocyte,8.488029,-0.9904429
A1.MAA001894.3_39_F.1.1,endothelial cell,-4.582863,12.245796
A1.MAA001895.3_38_F.1.1,endothelial cell,-4.6314893,10.403405
A10.B003290.3_38_F.1.1,endothelial cell,-5.929596,11.331334
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,14.48419,1.7269057
A10.MAA000641.3_9_M.1.1,oligodendrocyte,7.6423817,-0.91969323
A10.MAA000926.3_9_M.1.1,astrocyte,4.351654,1.1577592
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,14.998658,2.0458186
A10.MAA000932.3_11_M.1.1,endothelial cell,-6.6722546,11.650397
A10.MAA000935.3_8_M.1.1,oligodendrocyte,9.673536,14.648557
A10.MAA000941.3_8_M.1.1,oligodendrocyte,12.296038,13.575783
A10.MAA000944.3_9_M.1.1,oligodendrocyte,13.135191,15.45068
A10.MAA001853.3_38_F.1.1,endothelial cell,-3.4813187,11.685378
A10.MAA001854.3_38_F.1.1,oligodendrocyte,14.062212,10.295579
A11.B000404.3_56_F.1.1,astrocyte,5.0141325,0.4618769
A11.B003275.3_38_F.1.1,endothelial cell,-3.7748938,9.711404
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,14.08602,1.5732512
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,14.988401,14.84491
A11.MAA000564.3_10_M.1.1,neuron,7.2774525,-3.760032
A11.MAA000641.3_9_M.1.1,oligodendrocyte,7.5515213,-1.257237
A11.MAA000902.3_11_M.1.1,oligodendrocyte,13.552479,11.961686
A11.MAA000923.3_9_M.1.1,astrocyte,5.369863,-0.4475331
A11.MAA000926.3_9_M.1.1,endothelial cell,-4.6091785,12.109621
A11.MAA000928.3_9_M.1.1,Bergmann glial cell,9.377613,-0.7494975
A11.MAA000930.3_8_M.1.1,oligodendrocyte,12.253667,12.328183
A11.MAA000932.3_11_M.1.1,endothelial cell,-5.909877,12.53893
A11.MAA000942.3_8_M.1.1,neuron,8.568084,-4.7421303
A11.MAA000944.3_9_M.1.1,astrocyte,5.5115156,1.4912075
A12.B001688.3_38_F.1.1,oligodendrocyte precursor cell,14.866902,1.4848144
A12.B003275.3_38_F.1.1,endothelial cell,-3.4930856,9.83215
A12.B003290.3_38_F.1.1,endothelial cell,-4.766332,9.569428
A12.MAA000560.3_10_M.1.1,oligodendrocyte,12.409926,14.300814
A12.MAA000581.3_10_M.1.1,endothelial cell,-5.217341,11.108741
A12.MAA000615.3_10_M.1.1,neuron,7.719899,-4.021188
A12.MAA000641.3_9_M.1.1,oligodendrocyte,7.1975327,-0.70638293
A12.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,14.776565,0.9189908
A12.MAA000930.3_8_M.1.1,astrocyte,2.7639456,0.9852327
A12.MAA000935.3_8_M.1.1,oligodendrocyte,14.768172,14.701551
A12.MAA000941.3_8_M.1.1,oligodendrocyte,10.807686,10.929681
A12.MAA000944.3_9_M.1.1,oligodendrocyte,13.802214,14.656205
A12.MAA001854.3_38_F.1.1,oligodendrocyte,14.245784,10.232387
A13.B003275.3_38_F.1.1,endothelial cell,-4.844575,12.598565
A13.B003290.3_38_F.1.1,endothelial cell,-4.963258,10.253253
A13.MAA000424.3_11_M.1.1,neuron,10.678314,-3.254359
A13.MAA000560.3_10_M.1.1,astrocyte,2.5742252,-0.0022482192
A13.MAA000563.3_10_M.1.1,oligodendrocyte,9.1215725,16.13981
A13.MAA000615.3_10_M.1.1,neuron,5.87954,4.1991477
A13.MAA000923.3_9_M.1.1,astrocyte,2.381103,0.14251822
A13.MAA000930.3_8_M.1.1,oligodendrocyte,13.537146,11.347036
A13.MAA000941.3_8_M.1.1,endothelial cell,-4.512682,12.26142
A13.MAA000944.3_9_M.1.1,endothelial cell,-4.88392,11.631775
A14.B003274.3_38_F.1.1,oligodendrocyte,11.980208,11.86314
A14.B003275.3_38_F.1.1,endothelial cell,-4.782443,12.690767
A14.B003290.3_38_F.1.1,endothelial cell,-4.477725,10.575328
A14.B003728.3_56_F.1.1,oligodendrocyte,10.681742,14.1305485
A14.MAA000560.3_10_M.1.1,oligodendrocyte,12.667807,13.453878
A14.MAA000561.3_10_M.1.1,neuron,5.8540606,3.95961
A14.MAA000581.3_10_M.1.1,brain pericyte,-6.084364,1.6609607
A14.MAA000926.3_9_M.1.1,oligodendrocyte,15.174471,11.7303295
A14.MAA000930.3_8_M.1.1,brain pericyte,-7.0052853,0.49959755
A14.MAA000942.3_8_M.1.1,neuron,8.358051,-5.1230597
A14.MAA000944.3_9_M.1.1,oligodendrocyte,6.505399,2.7021842
A14.MAA000947.3_9_M.1.1,brain pericyte,-6.852621,0.46340215
A14.MAA001845.3_39_F.1.1,endothelial cell,-3.2529414,12.461785
A15.B003275.3_38_F.1.1,oligodendrocyte,-4.1697526,11.951777
A15.B003277.3_39_F.1.1,oligodendrocyte,6.1298404,-0.2739865
A15.B003290.3_38_F.1.1,endothelial cell,-4.2810726,10.250413
A15.MAA000560.3_10_M.1.1,astrocyte,2.6674817,0.9853339
A15.MAA000561.3_10_M.1.1,brain pericyte,-7.394324,0.8016028
A15.MAA000581.3_10_M.1.1,endothelial cell,-3.504413,11.775219
A15.MAA000641.3_9_M.1.1,oligodendrocyte,7.534632,-0.88031685
A15.MAA000930.3_8_M.1.1,endothelial cell,-5.130121,11.91208
A15.MAA000941.3_8_M.1.1,endothelial cell,-6.317508,11.041424
A15.MAA000942.3_8_M.1.1,neuron,6.9089494,-4.0013733
A15.MAA000944.3_9_M.1.1,astrocyte,5.2201204,0.16899244
A15.MAA001895.3_38_F.1.1,endothelial cell,-4.3696156,10.740824
A16.B003275.3_38_F.1.1,oligodendrocyte,-0.39006296,8.482035
A16.MAA000560.3_10_M.1.1,oligodendrocyte,14.466227,11.590768
A16.MAA000561.3_10_M.1.1,neuron,9.261048,-3.3783805
A16.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,15.47399,14.948046
A16.MAA000581.3_10_M.1.1,endothelial cell,-3.001687,10.264607
A16.MAA000641.3_9_M.1.1,oligodendrocyte,6.7016172,2.442028
A16.MAA000902.3_11_M.1.1,oligodendrocyte,13.452211,2.7330995
A16.MAA000930.3_8_M.1.1,astrocyte,2.9871593,1.2168887
A16.MAA000932.3_11_M.1.1,endothelial cell,-6.6158805,11.146137
A16.MAA000935.3_8_M.1.1,oligodendrocyte,6.630595,-0.56199414
A16.MAA000941.3_8_M.1.1,neuron,14.315003,1.9671012
A16.MAA000942.3_8_M.1.1,neuron,8.475653,-5.1030064
A16.MAA000944.3_9_M.1.1,neuron,8.935897,-2.871053
A16.MAA001894.3_39_F.1.1,astrocyte,2.722542,0.73581374
A17.B003275.3_38_F.1.1,oligodendrocyte,-0.36132613,8.55231
A17.B003290.3_38_F.1.1,neuron,7.2829947,-3.986542
A17.MAA000560.3_10_M.1.1,astrocyte,2.2130218,0.65644085
A17.MAA000561.3_10_M.1.1,neuron,7.719991,-4.1758204
A17.MAA000581.3_10_M.1.1,endothelial cell,-4.515352,10.782798
A17.MAA000641.3_9_M.1.1,oligodendrocyte,7.5604725,-1.3456275
A17.MAA001895.3_38_F.1.1,endothelial cell,-3.3455396,12.138847
A18.B000621.3_56_F.1.1,oligodendrocyte,7.204605,0.25098732
A18.MAA000560.3_10_M.1.1,oligodendrocyte,9.1384115,15.448436
A18.MAA000561.3_10_M.1.1,neuron,9.484485,-3.2831676
A18.MAA000578.3_10_M.1.1,oligodendrocyte,12.801423,10.468582
A18.MAA000581.3_10_M.1.1,endothelial cell,-5.1375637,12.63195
A18.MAA000926.3_9_M.1.1,oligodendrocyte,13.56839,14.210321
A18.MAA000930.3_8_M.1.1,endothelial cell,-5.4594984,11.80926
A18.MAA000932.3_11_M.1.1,oligodendrocyte,12.853433,12.18937
A18.MAA000935.3_8_M.1.1,oligodendrocyte,13.111168,3.2027154
A18.MAA000941.3_8_M.1.1,endothelial cell,-3.2790039,10.710169
A18.MAA000942.3_8_M.1.1,oligodendrocyte,11.57173,12.417173
A18.MAA000944.3_9_M.1.1,oligodendrocyte,11.296136,15.570048
A18.MAA001845.3_39_F.1.1,endothelial cell,-3.1154745,12.349089
A19.B003275.3_38_F.1.1,endothelial cell,-4.7919407,10.507022
A19.B003728.3_56_F.1.1,oligodendrocyte,8.0821295,0.70165503
A19.MAA000550.3_10_M.1.1,oligodendrocyte,9.93389,10.350335
A19.MAA000560.3_10_M.1.1,oligodendrocyte,13.281608,11.955629
A19.MAA000561.3_10_M.1.1,neuron,9.241697,-3.2449145
A19.MAA000581.3_10_M.1.1,brain pericyte,-7.196416,0.9853724
A19.MAA000926.3_9_M.1.1,astrocyte,4.904366,0.34096438
A19.MAA000930.3_8_M.1.1,astrocyte,4.378427,1.0285491
A19.MAA000944.3_9_M.1.1,oligodendrocyte,6.945351,-0.51740575
A2.B003277.3_39_F.1.1,oligodendrocyte,7.302678,0.30733284
A2.B003290.3_38_F.1.1,endothelial cell,-4.0954003,10.811688
A2.MAA000560.3_10_M.1.1,astrocyte,4.7384524,0.20583038
A2.MAA000932.3_11_M.1.1,endothelial cell,-5.552675,10.266417
A2.MAA000935.3_8_M.1.1,oligodendrocyte,12.825554,10.155199
A2.MAA000941.3_8_M.1.1,endothelial cell,-6.710572,9.754005
A2.MAA000942.3_8_M.1.1,oligodendrocyte,11.96355,15.369329
A2.MAA000944.3_9_M.1.1,oligodendrocyte,7.0133367,0.87077767
A2.MAA001854.3_38_F.1.1,oligodendrocyte,8.058654,-1.3420432
A20.B003274.3_38_F.1.1,oligodendrocyte,14.221888,10.100388
A20.B003275.3_38_F.1.1,endothelial cell,-3.2545023,12.38763
A20.B003277.3_39_F.1.1,oligodendrocyte,8.570878,15.78729
A20.B003290.3_38_F.1.1,neuron,6.933519,-3.798821
A20.MAA000550.3_10_M.1.1,oligodendrocyte precursor cell,14.393032,0.4893919
A20.MAA000560.3_10_M.1.1,oligodendrocyte,10.821598,11.149107
A20.MAA000561.3_10_M.1.1,brain pericyte,-7.4827228,1.1814716
A20.MAA000564.3_10_M.1.1,endothelial cell,-3.0777335,10.558108
A20.MAA000581.3_10_M.1.1,neuron,11.222487,-3.4905078
A20.MAA000926.3_9_M.1.1,brain pericyte,-7.0711365,1.2610581
A20.MAA000944.3_9_M.1.1,neuron,5.7160077,-3.219494
A20.MAA000947.3_9_M.1.1,oligodendrocyte precursor cell,13.922251,1.4116783
A21.B003275.3_38_F.1.1,endothelial cell,-3.1724255,9.679342
A21.B003277.3_39_F.1.1,oligodendrocyte,9.613272,14.873392
A21.B003290.3_38_F.1.1,oligodendrocyte,-0.3328869,8.503549
A21.MAA000424.3_11_M.1.1,endothelial cell,-3.114866,9.530671
A21.MAA000560.3_10_M.1.1,astrocyte,2.34739,0.8050464
A21.MAA000561.3_10_M.1.1,neuron,7.0449376,-4.087898
A21.MAA000581.3_10_M.1.1,endothelial cell,-2.817713,9.508456
A21.MAA000925.3_9_M.1.1,oligodendrocyte,13.932052,12.122674
A21.MAA000926.3_9_M.1.1,astrocyte,5.1162605,0.543489
A21.MAA000930.3_8_M.1.1,astrocyte,15.291138,15.572927
A21.MAA000944.3_9_M.1.1,endothelial cell,-4.7949142,11.533749
A21.MAA001894.3_39_F.1.1,oligodendrocyte,12.360048,11.661642
A21.MAA001895.3_38_F.1.1,oligodendrocyte,-0.53708595,8.496844
A22.B003275.3_38_F.1.1,endothelial cell,-4.4932666,12.710492
A22.MAA000424.3_11_M.1.1,endothelial cell,-3.235004,10.92449
A22.MAA000560.3_10_M.1.1,astrocyte,5.6812463,3.1416948
A22.MAA000561.3_10_M.1.1,endothelial cell,-4.708691,11.244295
