cell,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,label
A1.B003290.3_38_F.1.1,-23.748417,1.3160758,4.1691546,3.5800908,-17.472376,-4.018182,-5.8892136,-5.3169255,13.97032,17.46024,-20.713047,5.595254,-2.9087362,-8.888914,-32.756317,-41.00486,6.522748,-8.835557,-20.37668,7.073104,11.140733,-3.6397305,27.205763,-0.83438313,0.39922598,9.345166,-4.5916896,11.234573,-7.651962,-18.509647,-40.81406,-8.500133,astrocyte
A1.B003728.3_56_F.1.1,-25.891884,6.470064,12.529907,18.274143,-0.17159413,-7.780743,-12.579469,-2.2331207,21.802465,20.76096,-16.374706,-8.506884,-1.8351723,-13.996327,-14.8295145,2.9739819,-6.76087,-3.0245914,-9.442308,21.060547,9.8413,7.976996,20.328917,-2.6128616,-4.3712883,17.00956,-1.6935158,2.1388566,-6.1991377,5.23752,10.130567,1.8762906,astrocyte
A1.MAA000560.3_10_M.1.1,-4.8250127,-3.1643598,-7.08055,11.308957,10.446971,1.3504772,9.440814,-6.935119,1.0196235,10.601631,-1.2713695,-5.3146176,5.482624,-7.1543546,4.562178,14.610431,3.6194077,5.609522,-7.8064094,9.519578,-3.4617195,-5.782121,-5.8389034,0.1039132,11.11973,-7.1244116,-3.3633215,-5.9639053,0.05403377,-3.872768,8.938096,3.1510098,oligodendrocyte
A1.MAA000564.3_10_M.1.1,-0.93464315,6.560769,-35.268368,7.609952,-13.755442,4.8784933,24.31368,9.598872,-6.105454,-1.9270668,-0.8193529,-5.198262,7.0899687,-11.68152,1.4891833,6.8416767,15.917125,20.845318,-5.935186,23.069912,7.934864,-17.359121,-6.418904,12.004909,11.825533,11.8312025,-20.707985,-1.3019204,-7.9545665,-14.526001,-14.620167,-3.8186033,endothelial cell
A1.MAA000923.3_9_M.1.1,-21.36681,-2.04328,6.171446,10.663632,0.67136383,-6.0250325,-7.478624,-2.0809534,11.781805,21.102947,-17.086645,-2.6822596,-1.969587,-13.787027,-14.725973,-3.2228355,-0.19650115,-2.6172132,-13.885099,10.761551,2.638912,4.3187404,17.610933,-6.532991,-3.1865566,4.777578,0.4111448,-2.3416731,-5.9896517,-1.5414217,-0.8765445,-3.0728397,astrocyte
A1.MAA000930.3_8_M.1.1,-20.459616,2.3378413,2.5028698,8.266859,8.837098,2.3224907,-9.906444,-6.486684,15.430348,21.311739,-18.62339,-8.245523,4.9912286,-17.714323,-11.65084,2.632127,-10.328489,-6.1190443,-18.741316,14.019445,6.23858,-4.5768123,10.519544,-6.702302,0.8180382,1.951723,-1.2866865,-5.6834993,-2.2510083,-4.473222,6.669721,1.2208245,oligodendrocyte
A1.MAA000932.3_11_M.1.1,1.64664,9.975616,-23.338213,4.712944,-6.1289186,2.01825,13.911281,6.9764276,1.9596651,-1.3357043,-4.9578753,-5.854313,6.888104,-6.2674694,2.9539044,8.753274,6.72396,14.2062435,-4.638298,19.24257,6.550149,-11.445707,-5.933389,8.446175,2.8510952,7.441576,-14.126829,1.2339072,-1.0799009,-6.732423,-5.026144,-0.3078344,endothelial cell
A1.MAA000940.3_8_M.1.1,8.393478,-8.537569,5.259691,18.61376,16.098433,15.180677,22.487822,-10.831962,18.033854,24.411161,-7.97281,8.922873,-0.10570662,24.507526,-9.166031,-21.480429,19.448784,-1.009417,-15.364061,14.701368,-13.975977,-23.350397,-18.576887,-3.3461566,-12.505435,-26.412476,-3.457251,22.215944,25.846992,-9.356289,-29.777472,-9.1629505,neuron
A1.MAA001854.3_38_F.1.1,-29.30679,8.2057085,-7.4054117,21.975204,-9.085627,12.42106,-3.2654676,-15.620186,13.079924,23.86437,-17.57139,-1.3011483,6.6482005,-14.145026,-36.618237,-19.269798,-16.297018,-6.487196,-38.615734,12.497061,4.480067,-17.255566,6.5737977,-15.728029,1.669774,10.47496,-20.487398,19.3937,-5.410994,-27.517588,-26.004734,8.763243,oligodendrocyte
A1.MAA001894.3_39_F.1.1,3.565944,13.488572,-33.7346,4.481793,-4.24235,1.1515757,17.45356,10.007241,-0.057857633,3.4890156,-11.571885,-9.345275,9.147501,-9.317666,-0.537784,10.935224,9.0300665,21.257116,-10.828583,27.081064,5.0986514,-16.509787,-8.346944,12.030584,-2.1080496,8.777444,-18.246374,0.13518214,-1.1396495,-7.2492857,-8.474062,-3.7307022,endothelial cell
