cell,true_label,cluster
A1.B003290.3_38_F.1.1,astrocyte,18
A1.B003728.3_56_F.1.1,astrocyte,2
A1.MAA000560.3_10_M.1.1,oligodendrocyte,17
A1.MAA000564.3_10_M.1.1,endothelial cell,13
A1.MAA000923.3_9_M.1.1,astrocyte,2
A1.MAA000930.3_8_M.1.1,oligodendrocyte,14
A1.MAA000932.3_11_M.1.1,endothelial cell,5
A1.MAA000940.3_8_M.1.1,neuron,8
A1.MAA001854.3_38_F.1.1,oligodendrocyte,7
A1.MAA001894.3_39_F.1.1,endothelial cell,5
A1.MAA001895.3_38_F.1.1,endothelial cell,13
A10.B003290.3_38_F.1.1,endothelial cell,13
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,0
A10.MAA000641.3_9_M.1.1,oligodendrocyte,7
A10.MAA000926.3_9_M.1.1,astrocyte,2
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,0
A10.MAA000932.3_11_M.1.1,endothelial cell,5
A10.MAA000935.3_8_M.1.1,oligodendrocyte,1
A10.MAA000941.3_8_M.1.1,oligodendrocyte,17
A10.MAA000944.3_9_M.1.1,oligodendrocyte,17
A10.MAA001853.3_38_F.1.1,endothelial cell,5
A10.MAA001854.3_38_F.1.1,oligodendrocyte,1
A11.B000404.3_56_F.1.1,astrocyte,14
A11.B003275.3_38_F.1.1,endothelial cell,12
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,0
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,4
A11.MAA000564.3_10_M.1.1,neuron,19
A11.MAA000641.3_9_M.1.1,oligodendrocyte,7
A11.MAA000902.3_11_M.1.1,oligodendrocyte,17
A11.MAA000923.3_9_M.1.1,astrocyte,14
A11.MAA000926.3_9_M.1.1,endothelial cell,3
A11.MAA000928.3_9_M.1.1,Bergmann glial cell,15
A11.MAA000930.3_8_M.1.1,oligodendrocyte,1
A11.MAA000932.3_11_M.1.1,endothelial cell,13
A11.MAA000942.3_8_M.1.1,neuron,8
A11.MAA000944.3_9_M.1.1,astrocyte,2
A12.B001688.3_38_F.1.1,oligodendrocyte precursor cell,0
A12.B003275.3_38_F.1.1,endothelial cell,5
A12.B003290.3_38_F.1.1,endothelial cell,13
A12.MAA000560.3_10_M.1.1,oligodendrocyte,17
A12.MAA000581.3_10_M.1.1,endothelial cell,13
A12.MAA000615.3_10_M.1.1,neuron,19
A12.MAA000641.3_9_M.1.1,oligodendrocyte,18
A12.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,0
A12.MAA000930.3_8_M.1.1,astrocyte,2
A12.MAA000935.3_8_M.1.1,oligodendrocyte,4
A12.MAA000941.3_8_M.1.1,oligodendrocyte,4
A12.MAA000944.3_9_M.1.1,oligodendrocyte,17
A12.MAA001854.3_38_F.1.1,oligodendrocyte,1
A13.B003275.3_38_F.1.1,endothelial cell,13
A13.B003290.3_38_F.1.1,endothelial cell,13
A13.MAA000424.3_11_M.1.1,neuron,11
A13.MAA000560.3_10_M.1.1,astrocyte,2
A13.MAA000563.3_10_M.1.1,oligodendrocyte,17
A13.MAA000615.3_10_M.1.1,neuron,9
A13.MAA000923.3_9_M.1.1,astrocyte,2
A13.MAA000930.3_8_M.1.1,oligodendrocyte,1
A13.MAA000941.3_8_M.1.1,endothelial cell,5
A13.MAA000944.3_9_M.1.1,endothelial cell,5
A14.B003274.3_38_F.1.1,oligodendrocyte,1
A14.B003275.3_38_F.1.1,endothelial cell,13
A14.B003290.3_38_F.1.1,endothelial cell,13
A14.B003728.3_56_F.1.1,oligodendrocyte,17
A14.MAA000560.3_10_M.1.1,oligodendrocyte,17
A14.MAA000561.3_10_M.1.1,neuron,9
A14.MAA000581.3_10_M.1.1,brain pericyte,6
A14.MAA000926.3_9_M.1.1,oligodendrocyte,1
A14.MAA000930.3_8_M.1.1,brain pericyte,6
A14.MAA000942.3_8_M.1.1,neuron,8
A14.MAA000944.3_9_M.1.1,oligodendrocyte,9
A14.MAA000947.3_9_M.1.1,brain pericyte,6
A14.MAA001845.3_39_F.1.1,endothelial cell,5
A15.B003275.3_38_F.1.1,oligodendrocyte,5
A15.B003277.3_39_F.1.1,oligodendrocyte,14
A15.B003290.3_38_F.1.1,endothelial cell,13
A15.MAA000560.3_10_M.1.1,astrocyte,2
A15.MAA000561.3_10_M.1.1,brain pericyte,6
A15.MAA000581.3_10_M.1.1,endothelial cell,5
A15.MAA000641.3_9_M.1.1,oligodendrocyte,7
A15.MAA000930.3_8_M.1.1,endothelial cell,5
A15.MAA000941.3_8_M.1.1,endothelial cell,13
A15.MAA000942.3_8_M.1.1,neuron,19
A15.MAA000944.3_9_M.1.1,astrocyte,2
A15.MAA001895.3_38_F.1.1,endothelial cell,13
A16.B003275.3_38_F.1.1,oligodendrocyte,16
A16.MAA000560.3_10_M.1.1,oligodendrocyte,17
A16.MAA000561.3_10_M.1.1,neuron,11
A16.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,4
A16.MAA000581.3_10_M.1.1,endothelial cell,12
A16.MAA000641.3_9_M.1.1,oligodendrocyte,18
A16.MAA000902.3_11_M.1.1,oligodendrocyte,0
A16.MAA000930.3_8_M.1.1,astrocyte,2
A16.MAA000932.3_11_M.1.1,endothelial cell,13
A16.MAA000935.3_8_M.1.1,oligodendrocyte,18
A16.MAA000941.3_8_M.1.1,neuron,0
A16.MAA000942.3_8_M.1.1,neuron,8
A16.MAA000944.3_9_M.1.1,neuron,11
A16.MAA001894.3_39_F.1.1,astrocyte,2
A17.B003275.3_38_F.1.1,oligodendrocyte,16
A17.B003290.3_38_F.1.1,neuron,19
A17.MAA000560.3_10_M.1.1,astrocyte,2
A17.MAA000561.3_10_M.1.1,neuron,19
A17.MAA000581.3_10_M.1.1,endothelial cell,13
A17.MAA000641.3_9_M.1.1,oligodendrocyte,7
A17.MAA001895.3_38_F.1.1,endothelial cell,5
A18.B000621.3_56_F.1.1,oligodendrocyte,10
A18.MAA000560.3_10_M.1.1,oligodendrocyte,17
A18.MAA000561.3_10_M.1.1,neuron,11
A18.MAA000578.3_10_M.1.1,oligodendrocyte,17
A18.MAA000581.3_10_M.1.1,endothelial cell,3
A18.MAA000926.3_9_M.1.1,oligodendrocyte,17
A18.MAA000930.3_8_M.1.1,endothelial cell,13
A18.MAA000932.3_11_M.1.1,oligodendrocyte,1
A18.MAA000935.3_8_M.1.1,oligodendrocyte,4
A18.MAA000941.3_8_M.1.1,endothelial cell,5
A18.MAA000942.3_8_M.1.1,oligodendrocyte,17
A18.MAA000944.3_9_M.1.1,oligodendrocyte,17
A18.MAA001845.3_39_F.1.1,endothelial cell,5
A19.B003275.3_38_F.1.1,endothelial cell,13
A19.B003728.3_56_F.1.1,oligodendrocyte,10
A19.MAA000550.3_10_M.1.1,oligodendrocyte,4
A19.MAA000560.3_10_M.1.1,oligodendrocyte,17
A19.MAA000561.3_10_M.1.1,neuron,11
A19.MAA000581.3_10_M.1.1,brain pericyte,6
A19.MAA000926.3_9_M.1.1,astrocyte,2
A19.MAA000930.3_8_M.1.1,astrocyte,2
A19.MAA000944.3_9_M.1.1,oligodendrocyte,10
A2.B003277.3_39_F.1.1,oligodendrocyte,10
A2.B003290.3_38_F.1.1,endothelial cell,5
A2.MAA000560.3_10_M.1.1,astrocyte,2
A2.MAA000932.3_11_M.1.1,endothelial cell,13
A2.MAA000935.3_8_M.1.1,oligodendrocyte,1
A2.MAA000941.3_8_M.1.1,endothelial cell,13
A2.MAA000942.3_8_M.1.1,oligodendrocyte,17
