cell,label,UMAP1,UMAP2
A1.B003290.3_38_F.1.1,astrocyte,6.4961615,0.4393785
A1.B003728.3_56_F.1.1,astrocyte,4.942881,2.672713
A1.MAA000560.3_10_M.1.1,oligodendrocyte,12.62477,11.387238
A1.MAA000564.3_10_M.1.1,endothelial cell,-4.040273,13.055473
A1.MAA000923.3_9_M.1.1,astrocyte,6.14883,4.0688124
A1.MAA000930.3_8_M.1.1,oligodendrocyte,7.263232,3.3081849
A1.MAA000932.3_11_M.1.1,endothelial cell,-2.2765615,11.5774355
A1.MAA000940.3_8_M.1.1,neuron,12.645801,0.4164885
A1.MAA001854.3_38_F.1.1,oligodendrocyte,9.35005,2.953228
A1.MAA001894.3_39_F.1.1,endothelial cell,-3.3995073,12.746743
A1.MAA001895.3_38_F.1.1,endothelial cell,-2.575027,11.392904
A10.B003290.3_38_F.1.1,endothelial cell,-4.219234,11.31704
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,14.637144,-8.942452
A10.MAA000641.3_9_M.1.1,oligodendrocyte,8.093386,2.4158082
A10.MAA000926.3_9_M.1.1,astrocyte,5.32154,4.572298
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,15.287043,-8.406638
A10.MAA000932.3_11_M.1.1,endothelial cell,-4.5210853,12.238211
A10.MAA000935.3_8_M.1.1,oligodendrocyte,14.175573,16.300457
A10.MAA000941.3_8_M.1.1,oligodendrocyte,12.53407,13.319595
A10.MAA000944.3_9_M.1.1,oligodendrocyte,15.160929,13.3978
A10.MAA001853.3_38_F.1.1,endothelial cell,-2.0119245,11.22158
A10.MAA001854.3_38_F.1.1,oligodendrocyte,13.934399,10.489936
A11.B000404.3_56_F.1.1,astrocyte,4.593853,2.6267335
A11.B003275.3_38_F.1.1,endothelial cell,-1.8334299,10.29993
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,15.326905,-9.121862
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,16.531666,12.000919
A11.MAA000564.3_10_M.1.1,neuron,11.222664,1.6512883
