cell,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,label
A1.B003290.3_38_F.1.1,-6.143768,-11.030522,-15.758791,7.275631,21.0345,-2.4931686,21.62961,-2.4455798,15.375437,4.3560557,-11.786842,14.378759,-0.2580466,-4.789213,2.1030705,-12.867338,16.655525,-5.809034,8.143133,11.012412,-10.90406,19.37525,-13.451622,5.7469463,-5.523756,3.007358,10.1063595,16.894798,-2.597922,0.93454325,-22.11528,-5.3788223,astrocyte
A1.B003728.3_56_F.1.1,-15.391689,1.5706961,-5.3632817,-6.4629655,-8.657264,-3.9532783,18.928396,-7.1394577,11.191561,1.6816573,-15.148127,3.0881288,-6.8897223,-15.355501,4.299402,-0.9777803,8.294108,-3.6450367,-6.1083035,1.4622172,4.226132,14.8251,-14.884198,3.8157074,-11.568863,8.754616,-2.4111829,9.256497,-4.080989,7.287854,-11.895591,-11.191118,astrocyte
A1.MAA000560.3_10_M.1.1,-6.384972,-2.405241,11.490079,-13.165932,2.1232116,8.822768,0.2179999,-7.9184127,-9.346381,-14.171801,2.8583817,-1.9758618,13.538134,-15.199484,-7.0540075,1.1181352,11.503664,11.319399,-3.6803355,-13.929893,5.199309,4.7047286,-7.480054,1.564931,2.7329495,-3.0097709,-3.9926941,19.95116,-0.89822495,-9.156635,5.7948904,-10.930018,oligodendrocyte
A1.MAA000564.3_10_M.1.1,-8.141418,3.9217112,3.7448177,10.243907,23.23899,1.3720564,-11.349362,10.007419,-10.522402,-25.97653,8.639004,-2.5010436,20.332457,3.9135747,-14.579251,-1.2843995,6.5979204,3.0774913,13.9732685,3.4492943,4.4055815,8.52555,-9.179287,1.559446,-1.662853,4.156701,0.9727735,-1.1847512,13.653662,-0.9051143,-10.966454,-6.838143,endothelial cell
A1.MAA000923.3_9_M.1.1,-19.634075,-1.1313264,-2.3598533,-8.106981,-5.39765,1.2001013,10.006877,-2.16285,7.2226615,0.79353976,-13.243795,-0.32285354,-1.7869385,-12.476093,-2.652787,-0.7688679,3.740308,1.9086493,0.5676527,2.5726697,5.030138,13.37173,-9.997341,-1.6382538,-12.608577,3.7563472,2.15778,8.033542,-6.2160006,-3.0480645,-8.090972,-4.8358893,astrocyte
A1.MAA000930.3_8_M.1.1,-18.630625,0.9533156,1.6821543,-9.068377,-7.6444507,8.566506,16.751608,-16.597162,5.445983,-5.5592732,-8.273224,-0.66866416,-4.369791,-18.093496,-14.725526,-8.848611,3.1457818,5.8395805,-2.471698,-2.807128,1.4066341,16.43672,-7.164936,-5.386222,-11.010822,3.9086883,-0.48438317,17.381899,-7.592364,-3.949003,-8.452212,-12.830335,oligodendrocyte
A1.MAA000932.3_11_M.1.1,-3.5497203,1.1748898,6.4153886,5.92273,9.140874,1.3307374,-10.474603,13.349334,-9.576576,-17.820673,4.600813,-4.4493823,11.234531,4.3753257,-7.2191324,2.4947,1.8199095,2.4950619,9.354795,0.4914601,4.0294404,10.616225,-5.854177,1.0536715,0.33113366,0.78560835,-4.6831927,-5.142456,8.045615,-2.6136603,-8.461782,-3.4050062,endothelial cell
A1.MAA000940.3_8_M.1.1,0.4764464,7.937164,-16.276958,-3.1119738,-6.505197,4.2713823,14.126853,-3.0146894,-7.701076,16.737637,25.979769,-10.081338,-1.9947424,-3.091956,-1.8799756,-29.621597,21.937206,9.241357,25.930552,-3.9875166,6.637336,28.183315,9.089029,11.347909,-1.7747824,6.6931944,-12.386194,-11.792156,6.548047,-6.9535384,5.6298614,11.859488,neuron
A1.MAA001854.3_38_F.1.1,-29.601849,13.655561,-1.15797,-10.118422,5.3690968,4.9951525,13.119067,-31.281975,-6.6251273,-5.2316647,-7.5713067,-28.621572,-7.3894434,-11.4457,-17.407705,-16.73572,3.5084846,-11.183873,19.88153,2.8275688,-4.512653,21.478191,2.4368181,-7.972224,-22.958267,5.070932,8.034661,31.622005,0.6956161,15.765025,-22.63491,1.6871133,oligodendrocyte
A1.MAA001894.3_39_F.1.1,-7.6649766,3.47041,7.1218557,8.91787,12.984024,-1.0240275,-9.571139,14.425863,-11.389055,-25.853392,5.159763,-7.8119187,10.906974,10.77704,-9.61568,4.155273,0.13393901,-0.5323993,14.874647,1.7364585,8.698265,12.255969,-5.36333,1.6574122,0.24535339,6.176487,-1.8033072,-6.969692,11.564186,-2.4882565,-10.824508,-7.273082,endothelial cell
