epoch,train_loss,val_loss
1,-0.5216701139811597,-1.3826599428730626
2,-1.437739256004882,-1.5376877837167109
3,-1.582341686728733,-1.5947531636509378
4,-1.6378365589902293,-1.6208517642314832
5,-1.6731550447301926,-1.643684822792881
6,-1.6899280228645972,-1.6442964286748265
7,-1.697078257448533,-1.6562779530052565
8,-1.7157942697113635,-1.665170627605181
9,-1.7323702746746588,-1.6734532037438534
10,-1.7396811711242774,-1.673375589756672
11,-1.751912456244425,-1.6728949679657161
12,-1.7598325303956575,-1.680297866245169
13,-1.7668092559365665,-1.6853712108477819
14,-1.7701723416646322,-1.68485645080242
15,-1.7761457108204661,-1.689316265394261
16,-1.7775056924695283,-1.6902509413856215
17,-1.7834165824005028,-1.6881560115170968
18,-1.789446906326643,-1.6872574895008567
19,-1.7930093101426667,-1.6922013483439022
20,-1.7951160056918276,-1.6726262971452954
21,-1.7963949437234916,-1.6927179629502058
22,-1.8032769661323698,-1.6984612088748787
23,-1.8070404337901695,-1.6942894850308594
24,-1.8071535900527356,-1.6791345517306733
25,-1.808944752792907,-1.6988158809824074
26,-1.8160745779673257,-1.6892856579721849
27,-1.8187170807832207,-1.6926711846656464
28,-1.8211799719754387,-1.698342041535811
29,-1.823200712484472,-1.6846001613175066
30,-1.8256077019996892,-1.6965262900349682
31,-1.8273391815572002,-1.6989334000170755
32,-1.8300013107412,-1.6984687522709194
33,-1.8328103637383655,-1.6935723278879071
34,-1.8359340795504502,-1.6955511846150821
35,-1.8390789441813051,-1.6886600137106484
36,-1.842003263367547,-1.697084349271489
37,-1.8453186219034632,-1.6918331765709036
38,-1.8437685470955045,-1.698596191546085
39,-1.8452385512831944,-1.6900903168311916
40,-1.8475566951277989,-1.69354584314956
41,-1.8498480131423551,-1.6943193460839234
42,-1.8446356841941285,-1.685465259635903
43,-1.849344710586897,-1.6944886680222677
44,-1.8543661427653693,-1.6960180931426911
45,-1.8545511401556676,-1.6811534862014905
46,-1.8561616202585058,-1.688480793905398
47,-1.8556324944776648,-1.6905063712352182
48,-1.8564342459822012,-1.6894513281209727
49,-1.858314145624248,-1.6948463186140983
50,-1.8562443692699757,-1.6795036908118957
51,-1.8573235086366242,-1.6911423538437338
52,-1.8641053154577616,-1.6895390658084948
53,-1.8647491162119347,-1.684486806217876
54,-1.8648935341367534,-1.690758837283182
55,-1.8645573284111772,-1.6832060149687826
56,-1.868499995368758,-1.6892340169274562
57,-1.8747627230251536,-1.6940677491101352
58,-1.8787653165705063,-1.6921647427019135
59,-1.8798669151231355,-1.6830749634074327
60,-1.8785315312591253,-1.6886365504558485
61,-1.8770564713509255,-1.6899532149614127
