cell,label,UMAP1,UMAP2
A1.B003290.3_38_F.1.1,astrocyte,-2.2994807,6.023894
A1.B003728.3_56_F.1.1,astrocyte,1.1583551,13.557425
A1.MAA000560.3_10_M.1.1,oligodendrocyte,13.247548,4.800124
A1.MAA000564.3_10_M.1.1,endothelial cell,4.562254,-0.47493255
A1.MAA000923.3_9_M.1.1,astrocyte,1.383806,13.391307
A1.MAA000930.3_8_M.1.1,oligodendrocyte,0.5379476,11.754173
A1.MAA000932.3_11_M.1.1,endothelial cell,2.409622,-0.7558851
A1.MAA000940.3_8_M.1.1,neuron,-4.817599,14.458432
A1.MAA001854.3_38_F.1.1,oligodendrocyte,-0.73693216,10.709557
A1.MAA001894.3_39_F.1.1,endothelial cell,4.177063,-0.8559436
A1.MAA001895.3_38_F.1.1,endothelial cell,3.8302512,-0.85895234
A10.B003290.3_38_F.1.1,endothelial cell,4.124983,-1.3380324
A10.MAA000564.3_10_M.1.1,oligodendrocyte precursor cell,12.626923,17.368824
A10.MAA000641.3_9_M.1.1,oligodendrocyte,-0.6309162,10.320577
A10.MAA000926.3_9_M.1.1,astrocyte,1.2145915,14.325336
A10.MAA000930.3_8_M.1.1,oligodendrocyte precursor cell,11.80721,17.749886
A10.MAA000932.3_11_M.1.1,endothelial cell,3.8231795,-0.8366749
A10.MAA000935.3_8_M.1.1,oligodendrocyte,13.655102,3.0782304
A10.MAA000941.3_8_M.1.1,oligodendrocyte,13.685352,6.2099624
A10.MAA000944.3_9_M.1.1,oligodendrocyte,15.055872,4.523518
A10.MAA001853.3_38_F.1.1,endothelial cell,2.3053713,-0.70895386
A10.MAA001854.3_38_F.1.1,oligodendrocyte,12.585396,5.5425777
A11.B000404.3_56_F.1.1,astrocyte,0.9609313,12.899004
A11.B003275.3_38_F.1.1,endothelial cell,1.5241007,-1.6647509
A11.MAA000560.3_10_M.1.1,oligodendrocyte precursor cell,12.76966,18.220982
A11.MAA000561.3_10_M.1.1,oligodendrocyte precursor cell,9.993793,-1.1606476
A11.MAA000564.3_10_M.1.1,neuron,-5.783607,13.868564
A11.MAA000641.3_9_M.1.1,oligodendrocyte,-1.1103293,10.755406
A11.MAA000902.3_11_M.1.1,oligodendrocyte,14.277808,5.51499
A11.MAA000923.3_9_M.1.1,astrocyte,0.6249827,12.759023
A11.MAA000926.3_9_M.1.1,endothelial cell,3.02873,-0.4645863
A11.MAA000928.3_9_M.1.1,Bergmann glial cell,2.459845,11.538926
A11.MAA000930.3_8_M.1.1,oligodendrocyte,13.355902,5.211516
A11.MAA000932.3_11_M.1.1,endothelial cell,4.728655,-0.4272808
A11.MAA000942.3_8_M.1.1,neuron,-4.629151,13.911246
A11.MAA000944.3_9_M.1.1,astrocyte,1.3381498,12.724255
A12.B001688.3_38_F.1.1,oligodendrocyte precursor cell,12.613973,17.769972
A12.B003275.3_38_F.1.1,endothelial cell,1.4188677,-1.757063
A12.B003290.3_38_F.1.1,endothelial cell,2.7269862,-1.6848894
A12.MAA000560.3_10_M.1.1,oligodendrocyte,14.444271,4.8117576
A12.MAA000581.3_10_M.1.1,endothelial cell,4.2346883,-2.011005
A12.MAA000615.3_10_M.1.1,neuron,-4.8413925,13.910766
A12.MAA000641.3_9_M.1.1,oligodendrocyte,-0.687108,10.555117
A12.MAA000926.3_9_M.1.1,oligodendrocyte precursor cell,12.179614,17.831507
A12.MAA000930.3_8_M.1.1,astrocyte,1.1602409,15.186316
A12.MAA000935.3_8_M.1.1,oligodendrocyte,15.318061,5.4908195
A12.MAA000941.3_8_M.1.1,oligodendrocyte,12.751833,8.392963
A12.MAA000944.3_9_M.1.1,oligodendrocyte,14.7082,6.762033
A12.MAA001854.3_38_F.1.1,oligodendrocyte,12.779048,6.5194173
A13.B003275.3_38_F.1.1,endothelial cell,4.3410034,-0.55536616
A13.B003290.3_38_F.1.1,endothelial cell,3.3679729,-1.4168768
A13.MAA000424.3_11_M.1.1,neuron,-4.4266214,8.5532675
A13.MAA000560.3_10_M.1.1,astrocyte,1.2259037,15.644635
A13.MAA000563.3_10_M.1.1,oligodendrocyte,14.0192795,1.5069667
A13.MAA000615.3_10_M.1.1,neuron,1.3006552,6.911854
A13.MAA000923.3_9_M.1.1,astrocyte,1.2827396,14.513924
A13.MAA000930.3_8_M.1.1,oligodendrocyte,13.289506,6.102388
